C0224,30777,60512
C0225,17957,27072
C0226,29177,34016
C0227,21056,26599
C0231,18145,26876
C0232,12027,15628
C0233,11929,17844
C0243,10268,10627
C0245,24636,40095
C0246,21578,25080
C0247,17278,24712
C0248,19610,24639
C0249,18909,23966
C0252,18797,25471
C0253,38634,51854
C0267,12625,13127
C0269,5225,6738
C0270,5142,6956
C0271,12514,16614
C0272,5089,6017
C0273,15497,17524
C0274,8019,10326
C0275,7277,8423
C0276,5685,7845
C0277,24203,29288
C0278,8298,14044
C0279,16971,25245
C0280,8791,8791
C0281,5144,7735
C0284,6293,10624
C0286,5393,7261
C0287,9873,12574
C0288,8800,11215
C0292,11273,15571
C0294,12919,19516
C0296,18571,28963
C0305,8172,9446
C0306,25799,28450
C0308,5483,9273
C0310,24352,41025
C0311,13916,13916
C0319,37238,37669
C0320,11316,11316
C0321,17852,17852
C0322,32119,39552
C0323,17425,28594
C0325,35370,35370
C0326,12525,15370
C0327,20991,20991
C0328,7805,8134
C0329,9889,9889
C0330,12296,12296
C0331,9321,10409
C0332,9978,12002
C0333,11191,11191
C0334,8682,8682
C0335,21096,24859
C0336,9565,12425
C0337,13278,13278
C0338,21049,21049
C0339,18147,18147
C0340,21445,21445
C0341,18798,18798
C0342,26347,26347
C0343,7605,8399
C0344,9851,9851
C0345,12712,12712
C0346,27709,27709
C0347,13607,13607
C0348,8205,8205
C0349,22919,22919
C0356,25420,28555
C0357,36387,36387
C0358,27172,29091
C0359,60426,96140
C0361,18812,18812
C0362,30131,41707
C0365,9214,16632
C0367,18279,20090
C0368,20097,32787
C0370,44993,46337
C0371,14003,17592
C0372,34370,34370
C0373,58526,58526
C0374,18580,32418
C0377,10127,10127
C0379,27552,42364
C0404,19137,21953
C0405,12802,12802
C0407,15066,24621
C0408,9820,11905
C0412,22627,29682
C0414,11065,19425
C0415,33558,40181
C0417,13376,13376
C0420,17113,23392
C0421,13784,13784
C0422,44845,44845
C0424,16588,16588
C0426,13024,18793
C0428,20203,26804
C0429,10799,19090
C0430,21694,29510
C0432,28168,42945
C0433,14126,14126
C0435,13827,13827
C0436,10754,18645
C0440,32994,35182
C0441,16101,25573
C0444,34576,37588
C0445,8008,8587
C0448,10978,10978
C0449,9750,13795
C0451,12625,14818
C0452,15596,15596
C0453,11990,11990
C0457,12878,16741
C0458,10689,10689
C0459,17277,18511
C0460,8201,9308
C0461,11396,13955
C0462,10001,14379
C0463,16859,17999
C0465,23481,25886
C0466,18687,21257
C0469,13008,13183
C0470,20853,32115
C0471,14542,17460
C0473,22846,25213
C0481,13409,15301
C0485,7111,8105
C0486,11022,15529
C0491,35425,49311
C0492,30613,49654
C0500,5114,5723
C0521,11484,11484
C0523,5710,6997
C0525,12388,15550
C0526,11881,11986
C0528,16937,20516
C0530,15674,21028
C0534,19846,25092
C0536,14977,26894
C0537,8279,12320
C0538,25493,28835
C0539,21040,32130
C0541,10441,15611
C0542,11263,13223
C0543,5573,7895
C0544,21576,22031
C0545,11194,11291
C0546,17057,19785
C0548,11860,16820
C0550,12760,13721
C0552,17765,23741
C0553,18459,24026
C0554,31318,39820
C0601,27565,27565
C0602,18128,26805
C0603,39571,45219
C0604,36965,38802
C0605,27444,33637
C0609,14808,14808
C0613,19506,34950
C0616,9740,9740
C0617,27249,36608
C0619,19470,31702
C0621,14129,14129
C0624,20912,30539
C0625,10910,16991
C0629,17173,22278
C0631,15840,22821
C0633,19392,23417
C0634,39226,49752
C0635,29805,35639
C0636,32418,63306
C0637,28042,28042
C0638,28303,46575
C0640,55380,55380
C0643,25359,43719
C0645,38198,38198
C0646,10060,12275
C0647,22871,28909
C0649,26955,26955
C0650,20590,20847
C0651,26255,48815
C0653,14271,20770
C0655,17094,17094
C0656,7007,9382
C0657,26230,32355
C0659,8023,8374
C0663,14101,16336
C0664,26549,48367
C0665,27510,28056
C0666,28672,28672
C0670,13331,22129
C0676,15998,19202
C0680,10500,12948
C0681,32587,36096
C0682,17568,17568
C0683,33805,36913
C0685,8455,8972
C0688,18751,26922
C0689,37681,52998
C0690,7572,14111
C0692,20060,26670
C0693,16918,30862
C0695,8178,11951
C0697,39048,39048
C0698,42086,47003
C0699,13443,17092
C0701,25369,29040
C0702,30801,39254
C0703,18532,18532
C0704,14642,18577
C0705,34794,49611
C0706,22530,27127
C0707,5858,7204
C0709,9610,14081
C0711,14897,18129
C0713,36740,43867
C0714,11418,15471
C0715,18548,25067
C0716,19565,32083
C0718,30560,39132
C0720,12234,13892
C0721,22519,24604
C0723,17122,20220
C0724,17444,23078
C0726,21814,28970
C0727,14701,18617
C0728,11523,14745
C0729,20034,20334
C0733,23097,25949
C0734,15310,17247
C0735,32029,34777
C0738,20245,29730
C0740,14011,17163
C0741,8596,10848
C0742,7127,10567
C0743,33848,33848
C0744,35779,53033
C0746,16523,25241
